Function, N, Threads, Time
StrongScaling_STD, 10000, 1, 6.5334e-05
StrongScaling_STD, 10000, 2, 6.8084e-05
StrongScaling_STD, 10000, 4, 9.6083e-05
StrongScaling_STD, 10000, 8, 0.000180291
StrongScaling_STD, 10000, 16, 0.000327333
StrongScaling_STD, 100000, 1, 0.000267541
StrongScaling_STD, 100000, 2, 0.000204084
StrongScaling_STD, 100000, 4, 0.000142375
StrongScaling_STD, 100000, 8, 0.000162041
StrongScaling_STD, 100000, 16, 0.000271959
StrongScaling_STD, 1000000, 1, 0.00167392
StrongScaling_STD, 1000000, 2, 0.00090325
StrongScaling_STD, 1000000, 4, 0.000482083
StrongScaling_STD, 1000000, 8, 0.000471583
StrongScaling_STD, 1000000, 16, 0.000455709
